basis,method,budget,observed_queries,build_labels,method_rmse,same_budget_mc_rmse_theory,ratio_vs_same_budget_mc_theory,ratio_at_observed_queries,break_even_queries_extrapolated,labels_per_query_at_break_even
global,pca_comp,64,12,6000,0.0064307521955299365,0.009528281721551717,0.6749120548130334,2.0559311920439307,80.0,139.0
global,pca_comp,128,12,6000,0.00543073905871381,0.006715778650061436,0.80865367095804,1.8383315164763208,91.0,193.93406593406593
global,pca_comp,256,12,6000,0.0025047138168223957,0.004717885970676192,0.5308974893395754,0.9366778617565181,11.0,801.4545454545455
global,pca_comp,512,12,6000,0.0018299603251229967,0.003291934174637207,0.5558921375834225,0.8029742407368107,7.0,1369.142857142857
global,pca_comp,1024,12,6000,0.0018170182501471793,0.002264071973031093,0.8025443854218965,1.007528903676861,13.0,1485.5384615384614
global,pca_comp,2048,12,6000,0.001497797627749316,0.001506856842412439,0.993988005755995,1.1452957316008667,305.0,2067.6721311475408
global,per_query_rf,64,12,6000,0.011187255712204051,0.009528281721551717,1.174110510072341,3.5765999486155877,,
global,per_query_rf,128,12,6000,0.003978407953656853,0.006715778650061436,0.5923971233954322,1.3467103919994976,27.0,350.22222222222223
global,per_query_rf,256,12,6000,0.0023738626821954625,0.004717885970676192,0.5031623691098299,0.8877439834956227,9.0,922.6666666666666
global,per_query_rf,512,12,6000,0.001544822860215448,0.003291934174637207,0.46927513682308,0.6778578454541048,5.0,1712.0
global,per_query_rf,1024,12,6000,0.0013313405939378985,0.002264071973031093,0.5880292719473609,0.7382227057554875,5.0,2224.0
global,per_query_rf,2048,12,6000,0.0012090185843054832,0.001506856842412439,0.8023446888092405,0.9244799152953024,8.0,2798.0
global,random_comp,64,12,6000,0.007154643212389282,0.009528281721551717,0.7508849361796704,2.2873613694088797,123.0,112.78048780487805
global,random_comp,128,12,6000,0.005289743246622023,0.006715778650061436,0.7876589629072471,1.7906037500973386,79.0,203.9493670886076
global,random_comp,256,12,6000,0.004477009222650371,0.004717885970676192,0.9489439232904356,1.67424932843484,219.0,283.3972602739726
global,random_comp,512,12,6000,0.00265163312266136,0.003291934174637207,0.8054939685887211,1.1635187190402474,24.0,762.0
global,random_comp,1024,12,6000,0.002167975168117075,0.002264071973031093,0.957555764101719,1.202133024340689,73.0,1106.1917808219177
global,random_comp,2048,12,6000,0.0015206189367958638,0.001506856842412439,1.00913298064957,1.1627461183262289,,
global,random_stratified,64,12,0,0.011699186699329131,0.009528281721551717,1.2278380343086532,1.2278380343086532,,
global,random_stratified,128,12,0,0.00774463411134789,0.006715778650061436,1.153199727819654,1.153199727819654,,
global,random_stratified,256,12,0,0.004581685404882786,0.004717885970676192,0.9711310178669103,0.9711310178669103,1.0,256.0
global,random_stratified,512,12,0,0.003470726984443352,0.003291934174637207,1.0543123891065802,1.0543123891065802,,
global,random_stratified,1024,12,0,0.00250600955143309,0.002264071973031093,1.1068594909012968,1.1068594909012968,,
global,random_stratified,2048,12,0,0.0016268611952395613,0.001506856842412439,1.0796388545012667,1.0796388545012667,,
