basis_kind,method,budget,cells,model_queries,mean_reference_rate,rmse,mc_rmse,mae,rmse_ratio_vs_mc,effective_mc_multiplier
sklearn_sdl,per_query_rf,1024,12,12,0.0059,0.0013313405939378983,0.0023144039041394543,0.0009537722229403869,0.5752412496179744,3.022038256943571
sklearn_sdl,output_comp,1024,12,12,0.0059,0.00148764863450387,0.0023144039041394543,0.0010829738675892403,0.6427783118768157,2.420346644731868
sklearn_sdl,input_concept_comp,1024,12,12,0.0059,0.0016859293488492978,0.0023144039041394543,0.0012187212912179678,0.7284507884876573,1.8845148521868138
sklearn_sdl,internal,1024,12,12,0.0059,0.0017169519223382199,0.0023144039041394543,0.0012995101838256288,0.7418549196479255,1.8170297492810619
sklearn_sdl,pca_comp,1024,12,12,0.0059,0.0018170182501471793,0.0023144039041394543,0.001276454450963451,0.785091248289605,1.6224066871842175
sklearn_sdl,output_active,1024,12,12,0.0059,0.0018818780972233628,0.0023144039041394543,0.0013673273542631032,0.8131156769384582,1.512499818612447
sklearn_sdl,random_comp,1024,12,12,0.0059,0.002167975168117075,0.0023144039041394543,0.0015738351347604777,0.9367315550408108,1.1396452887334008
sklearn_sdl,mc,1024,12,12,0.0059,0.0023144039041394543,0.0023144039041394543,0.0016758101851851602,1.0,1.0
sklearn_sdl,embedding_comp,1024,12,12,0.0059,0.0023272885010006106,0.0023144039041394543,0.0015491567338132945,1.0055671340849845,0.9889580253783935
sklearn_sdl,random_stratified,1024,12,12,0.0059,0.00250600955143309,0.0023144039041394543,0.0018316721970452927,1.0827883356707693,0.8529289641314396
sklearn_sdl,ase_output,1024,12,12,0.0059,0.00287549277892496,0.0023144039041394543,0.001724162857328503,1.2424334290924604,0.6478190932332928
sklearn_sdl,embedding_ase,1024,12,12,0.0059,0.0029685408380726373,0.0023144039041394543,0.0021740445485457093,1.282637327375407,0.6078441631900304
sklearn_sdl,internal,2048,12,12,0.0059,0.0011988749473359098,0.0014737677820549535,0.0007887638561410874,0.8134761540683526,1.5111596421651166
sklearn_sdl,per_query_rf,2048,12,12,0.0059,0.0012090185843054832,0.0014737677820549535,0.0008387121041687579,0.820358945979728,1.485908828839429
sklearn_sdl,input_concept_comp,2048,12,12,0.0059,0.0012478857023185128,0.0014737677820549535,0.0009024580354819424,0.8467315662027289,1.3947889523080954
sklearn_sdl,output_comp,2048,12,12,0.0059,0.0012898369968369675,0.0014737677820549535,0.0009722022107230802,0.8751969018066595,1.3055348122101926
sklearn_sdl,output_active,2048,12,12,0.0059,0.0013158040023367257,0.0014737677820549535,0.0009405822151487341,0.892816370637462,1.2545145719139141
sklearn_sdl,mc,2048,12,12,0.0059,0.0014737677820549535,0.0014737677820549535,0.0010862847222221916,1.0,1.0
sklearn_sdl,pca_comp,2048,12,12,0.0059,0.001497797627749316,0.0014737677820549535,0.0010359082162393095,1.0163050420744415,0.968170486581172
sklearn_sdl,random_comp,2048,12,12,0.0059,0.001520618936795864,0.0014737677820549535,0.0010994659767450505,1.0317900522126922,0.9393281275832981
sklearn_sdl,embedding_comp,2048,12,12,0.0059,0.001534993646234554,0.0014737677820549535,0.0010982992254245697,1.0415437662059825,0.9218175074169475
sklearn_sdl,random_stratified,2048,12,12,0.0059,0.0016268611952395611,0.0014737677820549535,0.0012259141633011344,1.1038789251934529,0.820648378840564
sklearn_sdl,ase_output,2048,12,12,0.0059,0.0017648137252304075,0.0014737677820549535,0.0012647631803869256,1.1974842622557762,0.6973653600539688
sklearn_sdl,embedding_ase,2048,12,12,0.0059,0.0018446528552422542,0.0014737677820549535,0.0013210376526163567,1.2516577426262878,0.6383058424676932
spd,input_concept_comp,64,12,12,0.0059,0.0059703385474867005,0.007571300740784485,0.004219342274932783,0.7885485931533734,1.6082111821021736
spd,output_comp,64,12,12,0.0059,0.0061278818359618535,0.007571300740784485,0.0041497613088237245,0.8093565485984018,1.526582325925848
spd,pca_comp,64,12,12,0.0059,0.0064307521955299365,0.007571300740784485,0.004217195947303552,0.8493589695743121,1.3861730309252924
spd,random_comp,64,12,12,0.0059,0.007154643212389282,0.007571300740784485,0.005316607896653278,0.9449688312933093,1.1198633507242644
spd,mc,64,12,12,0.0059,0.007571300740784485,0.007571300740784485,0.0061671296296296205,1.0,1.0
spd,output_active,64,12,12,0.0059,0.008054892202172342,0.007571300740784485,0.005605863380873036,1.0638716487357165,0.8835304651172909
spd,internal,64,12,12,0.0059,0.009533959428216129,0.007571300740784485,0.006321085082994925,1.2592234484702673,0.6306587061789243
spd,per_query_rf,64,12,12,0.0059,0.011187255712204051,0.007571300740784485,0.004518262035850193,1.4775870217308136,0.4580299366953145
spd,embedding_ase,64,12,12,0.0059,0.011565774042019247,0.007571300740784485,0.007838989679368255,1.5275808527480157,0.4285402195148608
spd,random_stratified,64,12,12,0.0059,0.011699186699329131,0.007571300740784485,0.007977848742291,1.545201689890467,0.4188221589129402
spd,embedding_comp,64,12,12,0.0059,0.01226198495338926,0.007571300740784485,0.003916681653492466,1.619534789753809,0.38125841378081715
spd,ase_output,64,12,12,0.0059,0.016196650666448792,0.007571300740784485,0.009397020654698931,2.1392163937171262,0.21851968398132485
spd,per_query_rf,128,12,12,0.0059,0.003978407953656853,0.007975749014228196,0.002838607040757671,0.49881308282891584,4.019058510476357
spd,internal,128,12,12,0.0059,0.004540524612779412,0.007975749014228196,0.0035113614377630695,0.5692913110329104,3.085537929034815
