basis_kind,budget,method,model_queries,rmse,mc_rmse,rmse_ratio_vs_mc,rmse_ratio_ci_low,rmse_ratio_ci_high
spd,64,input_concept_comp,12,0.004798396879797067,0.0073394032644199195,0.6537856971368251,0.4818227535154172,0.8581036787886741
spd,64,pca_comp,12,0.00538814525054634,0.0073394032644199195,0.7341394192995335,0.45188430387050615,1.0051204367515
spd,64,output_active,12,0.005536863839422177,0.0073394032644199195,0.7544024547968194,0.5389268447718315,0.9579504946745477
spd,64,mc,12,0.0073394032644199195,0.0073394032644199195,1.0,1.0,1.0
spd,64,output_comp,12,0.007469767036672992,0.0073394032644199195,1.0177621759639577,0.49368113539559316,1.524882220273794
spd,64,random_comp,12,0.009137610768908908,0.0073394032644199195,1.2450073173123446,0.8089639046476297,1.6974902761101178
spd,64,internal,12,0.00953395942821659,0.0073394032644199195,1.299010162642987,0.6616422055335349,1.876849887125844
spd,64,embedding_ase,12,0.011435142875162157,0.0073394032644199195,1.558048040580851,1.1887831968437246,1.8863900625539287
spd,64,random_stratified,12,0.014208772829302302,0.0073394032644199195,1.9359575046358095,1.2001232466398746,2.565545990139595
spd,64,ase_output,12,0.019461382247654556,0.0073394032644199195,2.6516300503611467,0.8179098238941547,4.312322796398419
spd,128,pca_comp,12,0.0032177638912757114,0.007566701369689143,0.42525318947639457,0.3090298121608045,0.667510686930456
spd,128,input_concept_comp,12,0.0038209566376234847,0.007566701369689143,0.5049699269128759,0.2992660470469131,0.9321858069781512
spd,128,per_query_rf,12,0.00416828295974331,0.007566701369689143,0.5508718735010091,0.5022100519379771,0.7013932822035819
spd,128,output_active,12,0.0041931016451682325,0.007566701369689143,0.554151860937059,0.4046824157208945,0.8620058972331961
spd,128,internal,12,0.004540524612779614,0.007566701369689143,0.6000665799985375,0.487205448913196,0.8349491534053696
spd,128,ase_output,12,0.005609121997469871,0.007566701369689143,0.7412902562719091,0.4331486200775843,1.3154536893448567
spd,128,output_comp,12,0.00576841667590564,0.007566701369689143,0.7623423198664729,0.3162723221379057,1.5881839093534997
spd,128,random_comp,12,0.006263549353872516,0.007566701369689143,0.827778056494099,0.45869574457839085,1.6751924459291083
spd,128,random_stratified,12,0.007346648769761921,0.007566701369689143,0.9709182919774376,0.6710158271940456,1.8262157393247747
spd,128,mc,12,0.007566701369689143,0.007566701369689143,1.0,1.0,1.0
spd,128,embedding_comp,12,0.008657257408505939,0.007566701369689143,1.1441256877383015,0.2821469487323108,2.4463729057430346
spd,128,embedding_ase,12,0.009628970242511721,0.007566701369689143,1.2725452970938775,0.8523189758536006,2.384097507656477
spd,256,per_query_rf,12,0.0021448123235800133,0.004677861038719454,0.45850278702745456,0.2990193378170212,0.6434873465223255
spd,256,embedding_comp,12,0.002452313082885815,0.004677861038719454,0.5242381213523877,0.3223160717522783,0.8514478873235952
spd,256,internal,12,0.0027971351619536134,0.004677861038719454,0.5979517430725814,0.4990548624199187,0.7819401069835963
spd,256,input_concept_comp,12,0.0028729829630608785,0.004677861038719454,0.6141659487703265,0.41365303153049937,0.9362116079992371
spd,256,pca_comp,12,0.0028874132757600473,0.004677861038719454,0.6172507588105834,0.4372233304536501,0.8530164082869632
spd,256,random_comp,12,0.0035979437955632114,0.004677861038719454,0.769142940712094,0.5910755778723066,1.0767009203523763
spd,256,output_comp,12,0.003650250626780377,0.004677861038719454,0.7803247246052479,0.5793951157978775,0.8790927312028836
spd,256,embedding_ase,12,0.0037373191233065137,0.004677861038719454,0.7989376110944908,0.5819499284978172,1.170184992970858
spd,256,random_stratified,12,0.004387298790973425,0.004677861038719454,0.9378856607024032,0.7090739758586165,1.3068945565003982
