basis_kind,method,budget,cells,model_queries,mean_reference_rate,rmse,mae,mc_rmse,rmse_ratio_vs_mc,effective_mc_multiplier
sklearn_sdl,embedding_comp,128,36,12,0.0059,0.00406314519051919,0.0027552888007469464,0.007253522252633161,0.560161677182998,3.1869350492735036
sklearn_sdl,internal,128,36,12,0.0059,0.004063595416145484,0.0032021327040203805,0.007253522252633161,0.5602237471140762,3.186228896128259
sklearn_sdl,output_active,128,36,12,0.0059,0.00453430018004855,0.0032060251889578584,0.007253522252633161,0.6251170151718382,2.5590416808516108
sklearn_sdl,random_comp,128,36,12,0.0059,0.004962228498692062,0.0037989271864174853,0.007253522252633161,0.6841129489732637,2.136704074822336
sklearn_sdl,input_concept_comp,128,36,12,0.0059,0.005754636629021912,0.0035049133612062,0.007253522252633161,0.7933575480426595,1.5887738535029188
sklearn_sdl,ase_output,128,36,12,0.0059,0.007223643832271264,0.005831903126944179,0.007253522252633161,0.9958808397739387,1.0082895039087443
sklearn_sdl,mc,128,36,12,0.0059,0.007253522252633161,0.004675694444444444,0.007253522252633161,1.0,1.0
sklearn_sdl,pca_comp,128,36,12,0.0059,0.007475590079906884,0.004120129693659917,0.007253522252633161,1.0306151714352443,0.9414709790211827
sklearn_sdl,random_stratified,128,36,12,0.0059,0.008070755053448106,0.00549305126477978,0.007253522252633161,1.112667028838062,0.807736228090932
sklearn_sdl,embedding_ase,128,36,12,0.0059,0.010773141026830241,0.007873202845867504,0.007253522252633161,1.4852289207383895,0.4533286900512277
sklearn_sdl,output_comp,128,36,12,0.0059,0.011843316695009133,0.004987771414914259,0.007253522252633161,1.632767679276064,0.3751035809403445
sklearn_sdl,per_query_rf,256,36,12,0.0059,0.0022156600368810546,0.001715551849055727,0.003997025803991985,0.5543271786407254,3.254375448612097
sklearn_sdl,input_concept_comp,256,36,12,0.0059,0.002315967957109643,0.0017580305151442667,0.003997025803991985,0.5794228185358713,2.978576860199894
sklearn_sdl,pca_comp,256,36,12,0.0059,0.0025548009161387745,0.0018892541343441395,0.003997025803991985,0.6391754873304033,2.447708959516395
sklearn_sdl,random_stratified,256,36,12,0.0059,0.003393582372377599,0.0025642988938406144,0.003997025803991985,0.8490268861882992,1.3872576021340806
sklearn_sdl,internal,256,36,12,0.0059,0.003900514805984926,0.0028168603976343426,0.003997025803991985,0.9758542969848555,1.050098510380772
sklearn_sdl,mc,256,36,12,0.0059,0.003997025803991985,0.0032718749999999996,0.003997025803991985,1.0,1.0
sklearn_sdl,output_comp,256,36,12,0.0059,0.004125622693137178,0.002771881412512327,0.003997025803991985,1.0321731445958537,0.9386309913061952
